Date,ProjCode,StartTime,EndTime,FractionOfNight,Length
2018-08-05,N015,05:47,10:27,0.5,4.6667
2018-08-05,N169,10:27,15:07,0.5,4.6667
2018-08-06,C303,05:46,06:30,0.08,0.7333
2018-08-06,C311,06:30,08:33,0.22,2.05
2018-08-06,C303,08:33,15:09,0.7,6.6
2018-08-09,Y022,05:45,15:10,1.0,9.4167
2018-08-13,N169,05:42,15:12,1.0,9.5
2018-08-14,C311,05:41,08:15,0.27,2.5667
2018-08-14,C302,08:15,10:26,0.23,2.1833
2018-08-14,H284,10:26,15:11,0.5,4.75
2018-08-15,C302,05:41,10:26,0.5,4.75
2018-08-18,N169,05:37,10:25,0.5,4.8
2018-08-18,H284,10:25,15:13,0.5,4.8
2018-08-19,N169,05:37,10:26,0.5,4.8167
2018-08-19,H284,10:26,15:13,0.5,4.7833
2018-08-27,N015,07:57,10:23,0.25,2.4333
2018-08-27,C261,10:23,15:15,0.5,4.8667
2018-08-29,N015,05:29,10:22,0.5,4.8833
2018-08-29,C261,10:22,15:17,0.5,4.9167
2018-09-01,H269,05:26,15:18,1.0,9.8667
2018-09-02,H269,05:25,15:18,1.0,9.8833
2018-09-03,N169,05:24,15:19,1.0,9.9167
2018-09-04,U100,07:52,15:18,0.75,7.4333
2018-09-05,N192,05:22,15:19,1.0,9.95
2018-09-07,C311,05:20,07:50,0.25,2.5
2018-09-07,U100,07:50,15:20,0.75,7.5
2018-09-20,N015,05:08,07:41,0.25,2.55
2018-09-20,C302,07:41,10:24,0.26,2.7167
2018-09-21,C261,05:06,10:15,0.5,5.15
2018-09-21,C302,10:15,15:22,0.5,5.1167
2018-09-23,H241,05:05,15:23,1.0,10.3
2018-09-24,H241,05:05,15:24,1.0,10.3167
2018-09-25,U096,05:04,15:24,1.0,10.3333
2018-09-26,C331,05:03,15:24,1.0,10.35
2018-09-27,D341,05:02,15:24,1.0,10.3667
2018-09-28,C261,05:00,10:12,0.5,5.2
2018-09-28,U111,10:12,15:24,0.5,5.2
2018-09-29,C302,05:00,10:12,0.5,5.2
2018-09-29,H284,10:12,15:24,0.5,5.2
2018-09-30,N015,04:59,10:11,0.5,5.2
2018-09-30,N169,10:11,15:25,0.5,5.2333
2018-10-01,C303,04:58,15:24,1.0,10.4333
2018-10-03,N160,04:57,15:26,1.0,10.4833
2018-10-04,N178,04:56,15:26,1.0,10.5
2018-10-21,E010,12:52,15:31,0.24,2.65
2018-10-22,C303,04:42,10:06,0.5,5.4
2018-10-26,U062,04:40,10:06,0.5,5.4333
2018-10-26,U111,10:06,15:32,0.5,5.4333
2018-10-27,U062,10:06,15:33,0.5,5.45
2018-10-29,U062,04:38,15:33,1.0,10.9167
2018-10-30,U131,04:38,15:34,1.0,10.9333
2018-10-31,U131,04:37,15:34,1.0,10.95
2018-11-02,C351,04:36,10:05,0.5,5.4833
2018-11-02,C303,10:05,15:35,0.5,5.5
2018-11-03,N186,04:35,10:05,0.5,5.5
2018-11-03,N178,10:05,15:35,0.5,5.5
2018-11-13,N178,04:32,07:19,0.25,2.7833
2018-11-13,N148,07:19,15:40,0.75,8.35
2018-11-14,U086,04:33,15:40,1.0,11.1167
2018-11-15,U086,04:31,10:06,0.5,5.5833
2018-11-15,C303,10:06,15:41,0.5,5.5833
2018-11-18,C331,04:32,15:42,1.0,11.1667
2018-11-19,K353,04:31,05:32,0.09,1.0167
2018-11-20,N160,04:32,15:43,1.0,11.1833
2018-12-09,C303,04:33,10:14,0.5,5.6833
2018-12-09,U039,10:14,15:54,0.5,5.6667
2018-12-10,D334,10:15,15:54,0.5,5.65
2018-12-23,N209,04:40,07:30,0.25,2.8333
2018-12-23,N015,07:30,10:21,0.25,2.85
2018-12-25,D341,04:41,10:22,0.5,5.6833
2018-12-25,C302,10:22,16:03,0.5,5.6833
2019-01-06,U096,04:48,16:07,1.0,11.3167
2019-01-07,U096,04:49,16:07,1.0,11.3
2019-01-08,N192,04:50,16:08,1.0,11.3
2019-01-24,N015,07:48,10:33,0.25,2.75
2019-01-24,C302,10:33,16:08,0.5,5.5833
2019-01-25,N209,04:59,07:48,0.25,2.8167
2019-01-25,H242,07:48,16:08,0.75,8.3333