Date,Allocated,SimWeather,Designation
2024-08-01,Past,Past,Past
2024-08-02,True,???,???
2024-08-03,True,Clear,Go
2024-08-04,False,Clear,Miss
2024-08-05,True,Clear,Go
2024-08-06,False,Clear,Miss
2024-08-07,True,Clear,Go
2024-08-08,False,Clear,Miss
2024-08-09,False,Clear,Miss
2024-08-10,False,Clear,Miss
2024-08-11,True,Clear,Go
2024-08-12,False,Clear,Miss
2024-08-13,False,Clear,Miss
2024-08-14,False,Clear,Miss
2024-08-15,True,Clear,Go
2024-08-16,False,Clear,Miss
2024-08-17,True,Clear,Go
2024-08-18,True,Clear,Go
2024-08-19,True,Clear,Go
2024-08-20,True,Clear,Go
2024-08-21,True,Clear,Go
2024-08-22,True,Clear,Go
2024-08-23,False,Clear,Miss
2024-08-24,False,Clear,Miss
2024-08-25,False,Clear,Miss
2024-08-26,True,Clear,Go
2024-08-27,True,Clear,Go
2024-08-28,False,Clear,Miss
2024-08-29,True,Clear,Go
2024-08-30,False,Clear,Miss
2024-08-31,True,Clear,Go
2024-09-01,False,Clear,Miss
2024-09-02,False,Clear,Miss
2024-09-03,True,Clear,Go
2024-09-04,False,Clear,Miss
2024-09-05,True,Clear,Go
2024-09-06,False,Clear,Miss
2024-09-07,True,Clear,Go
2024-09-08,False,Clear,Miss
2024-09-09,True,Clear,Go
2024-09-10,False,Clear,Miss
2024-09-11,True,Clear,Go
2024-09-12,False,Clear,Miss
2024-09-13,True,Clear,Go
2024-09-14,True,Clear,Go
2024-09-15,True,Clear,Go
2024-09-16,False,Clear,Miss
2024-09-17,False,Clear,Miss
2024-09-18,True,Clear,Go
2024-09-19,True,Clear,Go
2024-09-20,True,Clear,Go
2024-09-21,True,Clear,Go
2024-09-22,True,Clear,Go
2024-09-23,True,Clear,Go
2024-09-24,True,Clear,Go
2024-09-25,True,Clear,Go
2024-09-26,False,Clear,Miss
2024-09-27,False,Clear,Miss
2024-09-28,False,Clear,Miss
2024-09-29,False,Clear,Miss
2024-09-30,False,Clear,Miss
2024-10-01,False,Clear,Miss
2024-10-02,True,Clear,Go
2024-10-03,True,Clear,Go
2024-10-04,False,Clear,Miss
2024-10-05,False,Clear,Miss
2024-10-06,False,Clear,Miss
2024-10-07,False,Clear,Miss
2024-10-08,False,Clear,Miss
2024-10-09,True,Clear,Go
2024-10-10,False,Clear,Miss
2024-10-11,True,Clear,Go
2024-10-12,True,Clear,Go
2024-10-13,True,Clear,Go
2024-10-14,True,Clear,Go
2024-10-15,True,Clear,Go
2024-10-16,False,Clear,Miss
2024-10-17,False,Clear,Miss
2024-10-18,True,Clear,Go
2024-10-19,True,Clear,Go
2024-10-20,True,Clear,Go
2024-10-21,True,Clear,Go
2024-10-22,True,Clear,Go
2024-10-23,False,Clear,Miss
2024-10-24,False,Clear,Miss
2024-10-25,True,Clear,Go
2024-10-26,True,Clear,Go
2024-10-27,False,Clear,Miss
2024-10-28,False,Clear,Miss
2024-10-29,False,Clear,Miss
2024-10-30,False,Clear,Miss
2024-10-31,False,Clear,Miss
2024-11-01,False,Clear,Miss
2024-11-02,False,Clear,Miss
2024-11-03,False,Clear,Miss
2024-11-04,False,Clear,Miss
2024-11-05,False,Clear,Miss
2024-11-06,False,Clear,Miss
2024-11-07,False,Clear,Miss
2024-11-08,False,Clear,Miss
2024-11-09,False,Clear,Miss
2024-11-10,False,Clear,Miss
2024-11-11,False,Clear,Miss
2024-11-12,False,Clear,Miss
2024-11-13,False,Clear,Miss
2024-11-14,False,Clear,Miss
2024-11-15,False,Clear,Miss
2024-11-16,False,Clear,Miss
2024-11-17,False,Clear,Miss
2024-11-18,False,Clear,Miss
2024-11-19,False,Clear,Miss
2024-11-20,False,Clear,Miss
2024-11-21,False,Clear,Miss
2024-11-22,False,Clear,Miss
2024-11-23,False,Clear,Miss
2024-11-24,False,Clear,Miss
2024-11-25,True,Clear,Go
2024-11-26,False,Clear,Miss
2024-11-27,False,Clear,Miss
2024-11-28,True,Clear,Go
2024-11-29,False,Clear,Miss
2024-11-30,True,Clear,Go
2024-12-01,False,Clear,Miss
2024-12-02,False,Clear,Miss
2024-12-03,True,Clear,Go
2024-12-04,False,Clear,Miss
2024-12-05,True,Clear,Go
2024-12-06,True,Clear,Go
2024-12-07,False,Clear,Miss
2024-12-08,True,Clear,Go
2024-12-09,False,Clear,Miss
2024-12-10,True,Clear,Go
2024-12-11,True,Clear,Go
2024-12-12,False,Clear,Miss
2024-12-13,False,Clear,Miss
2024-12-14,True,Clear,Go
2024-12-15,False,Clear,Miss
2024-12-16,True,Clear,Go
2024-12-17,False,Clear,Miss
2024-12-18,False,Clear,Miss
2024-12-19,True,Clear,Go
2024-12-20,True,Clear,Go
2024-12-21,True,Clear,Go
2024-12-22,False,Clear,Miss
2024-12-23,False,Clear,Miss
2024-12-24,False,Clear,Miss
2024-12-25,True,Clear,Go
2024-12-26,False,Clear,Miss
2024-12-27,False,Clear,Miss
2024-12-28,False,Clear,Miss
2024-12-29,False,Clear,Miss
2024-12-30,False,Clear,Miss
2024-12-31,False,Clear,Miss
2025-01-01,False,Clear,Miss
2025-01-02,False,Clear,Miss
2025-01-03,True,Clear,Go
2025-01-04,False,Clear,Miss
2025-01-05,False,Clear,Miss
2025-01-06,True,Clear,Go
2025-01-07,True,Clear,Go
2025-01-08,True,Clear,Go
2025-01-09,True,Clear,Go
2025-01-10,False,Clear,Miss
2025-01-11,True,Clear,Go
2025-01-12,False,Clear,Miss
2025-01-13,False,Clear,Miss
2025-01-14,False,Clear,Miss
2025-01-15,False,Clear,Miss
2025-01-16,False,Clear,Miss
2025-01-17,True,Clear,Go
2025-01-18,False,Clear,Miss
2025-01-19,False,Clear,Miss
2025-01-20,False,Clear,Miss
2025-01-21,True,Clear,Go
2025-01-22,False,Clear,Miss
2025-01-23,True,Clear,Go
2025-01-24,False,Clear,Miss
2025-01-25,False,Clear,Miss
2025-01-26,False,Clear,Miss
2025-01-27,False,Clear,Miss
2025-01-28,False,Clear,Miss
2025-01-29,False,Clear,Miss
2025-01-30,False,Clear,Miss
2025-01-31,False,Clear,Miss
